,character,dialogue,neg,pos,neu,compound,tokens,words
0,LUKE,"Echo Three to Echo Seven. Han, old buddy, do you  read me?",0.0,0.0,1.0,0.0,"['echo', 'three', 'to', 'echo', 'seven', 'han', 'old', 'buddy', 'do', 'you', 'read', 'me']",0.0916030534351145
1,HAN,"Loud and clear, kid. What's up?",0.0,0.342,0.658,0.3818,"['loud', 'and', 'clear', 'kid', 'what', 'up']",0.04580152671755725
2,LUKE,"Well, I finished my circle. I don't pick up any  life readings.",0.0,0.189,0.811,0.2732,"['well', 'i', 'finished', 'my', 'circle', 'i', 'do', 'pick', 'up', 'any', 'life', 'readings']",0.0916030534351145
3,HAN,There isn't enough life on this ice cube to fill a  space cruiser. The sensors are placed. I'm going back.,0.0,0.0,1.0,0.0,"['there', 'is', 'enough', 'life', 'on', 'this', 'ice', 'cube', 'to', 'fill', 'a', 'space', 'cruiser', 'the', 'sensors', 'are', 'placed', 'i', 'going', 'back']",0.15267175572519084
4,LUKE,Right. I'll see you shortly. There's a meteorite  that hit the ground near here. I want to check it out. It won't take long.,0.0,0.058,0.942,0.0772,"['right', 'i', 'see', 'you', 'shortly', 'there', 'a', 'meteorite', 'that', 'hit', 'the', 'ground', 'near', 'here', 'i', 'want', 'to', 'check', 'it', 'out', 'it', 'wo', 'take', 'long']",0.183206106870229
5,LUKE,"Hey, steady girl. What's the matter? You smell something?",0.0,0.154,0.846,0.1179,"['hey', 'steady', 'girl', 'what', 'the', 'matter', 'you', 'smell', 'something']",0.06870229007633588
8,HAN,"All right, don't lose your temper. I'll come right back and give  you a hand.",0.0,0.415,0.585,0.7776,"['all', 'right', 'do', 'lose', 'your', 'temper', 'i', 'come', 'right', 'back', 'and', 'give', 'you', 'a', 'hand']",0.11450381679389313
9,HAN,"No sign of life out there, General. The sensors are in place.  You'll know if anything comes around.",0.115,0.0,0.885,-0.296,"['no', 'sign', 'of', 'life', 'out', 'there', 'general', 'the', 'sensors', 'are', 'in', 'place', 'you', 'know', 'if', 'anything', 'comes', 'around']",0.13740458015267176
10,HAN,No. He's checking out a meteorite that hit near him.,0.216,0.0,0.784,-0.296,"['no', 'he', 'checking', 'out', 'a', 'meteorite', 'that', 'hit', 'near', 'him']",0.07633587786259542
11,HAN,"General, I've got to leave. I can't stay anymore.",0.146,0.0,0.854,-0.0516,"['general', 'i', 'got', 'to', 'leave', 'i', 'ca', 'stay', 'anymore']",0.06870229007633588
12,HAN,"Well, there's a price on my head. If I don't pay off Jabba the  Hut, I'm a dead man.",0.208,0.164,0.628,-0.4412,"['well', 'there', 'a', 'price', 'on', 'my', 'head', 'if', 'i', 'do', 'pay', 'off', 'jabba', 'the', 'hut', 'i', 'a', 'dead', 'man']",0.1450381679389313
13,HAN,"Thank you, General.",0.0,0.556,0.444,0.3612,"['thank', 'you', 'general']",0.022900763358778626
14,HAN,"Well, Your Highness, I guess this is it.",0.0,0.259,0.741,0.2732,"['well', 'your', 'highness', 'i', 'guess', 'this', 'is', 'it']",0.061068702290076333
15,LEIA,That's right.,0.0,0.0,1.0,0.0,"['that', 'right']",0.015267175572519083
16,HAN,"Well, don't get all mushy on me. So long, Princess.",0.0,0.189,0.811,0.2732,"['well', 'do', 'get', 'all', 'mushy', 'on', 'me', 'so', 'long', 'princess']",0.07633587786259542
18,HAN,"Yes, Your Highnessness?",0.0,0.574,0.426,0.4019,"['yes', 'your', 'highnessness']",0.022900763358778626
19,LEIA,I thought you decided to stay.,0.0,0.0,1.0,0.0,"['i', 'thought', 'you', 'decided', 'to', 'stay']",0.04580152671755725
20,HAN,"Well, the bounty hunter we ran into on Ord Mantell changed my  mind.",0.0,0.149,0.851,0.2732,"['well', 'the', 'bounty', 'hunter', 'we', 'ran', 'into', 'on', 'ord', 'mantell', 'changed', 'my', 'mind']",0.09923664122137404
21,LEIA,"Han, we need you!",0.0,0.0,1.0,0.0,"['han', 'we', 'need', 'you']",0.030534351145038167
24,HAN,"Oh, what about you need?",0.0,0.0,1.0,0.0,"['oh', 'what', 'about', 'you', 'need']",0.03816793893129771
25,LEIA,I need? I don't know what you're talking about.,0.0,0.0,1.0,0.0,"['i', 'need', 'i', 'do', 'know', 'what', 'you', 'talking', 'about']",0.06870229007633588
26,HAN,You probably don't.,0.0,0.0,1.0,0.0,"['you', 'probably', 'do']",0.022900763358778626
27,LEIA,And what precisely am I supposed to know?,0.0,0.0,1.0,0.0,"['and', 'what', 'precisely', 'am', 'i', 'supposed', 'to', 'know']",0.061068702290076333
28,HAN,Come on! You want me to stay because of the way you feel about  me.,0.0,0.102,0.898,0.1511,"['come', 'on', 'you', 'want', 'me', 'to', 'stay', 'because', 'of', 'the', 'way', 'you', 'feel', 'about', 'me']",0.11450381679389313
29,LEIA,Yes. You're a great help to us. You're a natural leader...,0.0,0.706,0.294,0.9001,"['yes', 'you', 'a', 'great', 'help', 'to', 'us', 'you', 'a', 'natural', 'leader']",0.08396946564885496
30,HAN,No! That's not it. Come on. Aahhh -- uh huh! Come on.,0.202,0.0,0.798,-0.4184,"['no', 'that', 'not', 'it', 'come', 'on', 'aahhh', 'uh', 'huh', 'come', 'on']",0.08396946564885496
31,LEIA,You're imagining things.,0.0,0.0,1.0,0.0,"['you', 'imagining', 'things']",0.022900763358778626
32,HAN,Am I? Then why are you following me? Afraid I was going to leave  without giving you a goodbye kiss?,0.175,0.13,0.695,0.2741,"['am', 'i', 'then', 'why', 'are', 'you', 'following', 'me', 'afraid', 'i', 'was', 'going', 'to', 'leave', 'without', 'giving', 'you', 'a', 'goodbye', 'kiss']",0.15267175572519084
33,LEIA,I'd just as soon kiss a Wookiee.,0.0,0.359,0.641,0.4215,"['i', 'just', 'as', 'soon', 'kiss', 'a', 'wookiee']",0.05343511450381679
34,HAN,I can arrange that. You could use a good kiss!,0.0,0.5,0.5,0.7177,"['i', 'can', 'arrange', 'that', 'you', 'could', 'use', 'a', 'good', 'kiss']",0.07633587786259542
35,THREEPIO,Don't try to blame me. I didn't ask you to turn on the  thermal heater. I merely commented that it was freezing in the princess's chamber. But it's supposed to be freezing. How are we going to dry out all her clothes? I really don't know.,0.063,0.034,0.903,-0.0726,"['do', 'try', 'to', 'blame', 'me', 'i', 'did', 'ask', 'you', 'to', 'turn', 'on', 'the', 'thermal', 'heater', 'i', 'merely', 'commented', 'that', 'it', 'was', 'freezing', 'in', 'the', 'princess', 'chamber', 'but', 'it', 'supposed', 'to', 'be', 'freezing', 'how', 'are', 'we', 'going', 'to', 'dry', 'out', 'all', 'her', 'clothes', 'i', 'really', 'do', 'know']",0.3511450381679389
36,THREEPIO,"Oh, switch off.",0.0,0.0,1.0,0.0,"['oh', 'switch', 'off']",0.022900763358778626
37,HAN,Why do you take this apart now? I'm trying to get us  out of here and you pull both of these.,0.0,0.0,1.0,0.0,"['why', 'do', 'you', 'take', 'this', 'apart', 'now', 'i', 'trying', 'to', 'get', 'us', 'out', 'of', 'here', 'and', 'you', 'pull', 'both', 'of', 'these']",0.16030534351145037
38,THREEPIO,"Excuse me, sir.",0.0,0.394,0.606,0.0772,"['excuse', 'me', 'sir']",0.022900763358778626
39,HAN,Put them back together right now.,0.0,0.0,1.0,0.0,"['put', 'them', 'back', 'together', 'right', 'now']",0.04580152671755725
40,THREEPIO,"Might I have a word with you, please?",0.0,0.315,0.685,0.3182,"['might', 'i', 'have', 'a', 'word', 'with', 'you', 'please']",0.061068702290076333
41,HAN,What do you want?,0.0,0.302,0.698,0.0772,"['what', 'do', 'you', 'want']",0.030534351145038167
42,THREEPIO,"Well, it's Princess Leia, sir. She's been trying to get you  on the communicator.",0.0,0.139,0.861,0.2732,"['well', 'it', 'princess', 'leia', 'sir', 'she', 'been', 'trying', 'to', 'get', 'you', 'on', 'the', 'communicator']",0.10687022900763359
43,HAN,I turned it off. I don't want to talk to her.,0.133,0.0,0.867,-0.0572,"['i', 'turned', 'it', 'off', 'i', 'do', 'want', 'to', 'talk', 'to', 'her']",0.08396946564885496
44,THREEPIO,"Oh. Well, Princess Leia is wondering about Master Luke. He  hasn't come back yet. She doesn't know where he is.",0.0,0.1,0.9,0.2732,"['oh', 'well', 'princess', 'leia', 'is', 'wondering', 'about', 'master', 'luke', 'he', 'has', 'come', 'back', 'yet', 'she', 'does', 'know', 'where', 'he', 'is']",0.15267175572519084
45,HAN,I don't know where he is.,0.0,0.0,1.0,0.0,"['i', 'do', 'know', 'where', 'he', 'is']",0.04580152671755725
46,THREEPIO,Nobody knows where he is.,0.0,0.0,1.0,0.0,"['nobody', 'knows', 'where', 'he', 'is']",0.03816793893129771
47,HAN,"What do you mean, \nobody knows\?",0.0,0.0,1.0,0.0,"['what', 'do', 'you', 'mean']",0.030534351145038167
48,THREEPIO,"Well, uh, you see...",0.0,0.412,0.588,0.2732,"['well', 'uh', 'you', 'see']",0.030534351145038167
49,HAN,Deck Officer. Deck Officer!,0.0,0.0,1.0,0.0,"['deck', 'officer', 'deck', 'officer']",0.030534351145038167
50,THREEPIO,"Excuse me, sir. Might I inqu-...",0.0,0.245,0.755,0.0772,"['excuse', 'me', 'sir', 'might', 'i']",0.03816793893129771
51,HAN,Do you know where Commander Skywalker is?,0.0,0.0,1.0,0.0,"['do', 'you', 'know', 'where', 'commander', 'skywalker', 'is']",0.05343511450381679
52,HAN,It's possible? Why don't you go find out? It's getting dark out  there.,0.0,0.0,1.0,0.0,"['it', 'possible', 'why', 'do', 'you', 'go', 'find', 'out', 'it', 'getting', 'dark', 'out', 'there']",0.09923664122137404
53,THREEPIO,"Excuse me, sir. Might I inquire what's going on?",0.0,0.157,0.843,0.0772,"['excuse', 'me', 'sir', 'might', 'i', 'inquire', 'what', 'going', 'on']",0.06870229007633588
54,HAN,Why not?,0.0,0.0,1.0,0.0,"['why', 'not']",0.015267175572519083
55,THREEPIO,"Impossible man. Come along, Artoo, lets find Princess Leia.  Between ourselves, I think Master Luke is in considerable danger.",0.167,0.0,0.833,-0.5267,"['impossible', 'man', 'come', 'along', 'artoo', 'lets', 'find', 'princess', 'leia', 'between', 'ourselves', 'i', 'think', 'master', 'luke', 'is', 'in', 'considerable', 'danger']",0.1450381679389313
56,HAN,Not likely. Are the speeders ready?,0.0,0.333,0.667,0.3612,"['not', 'likely', 'are', 'the', 'speeders', 'ready']",0.04580152671755725
57,HAN,Then we'll have to go out on Tauntauns.,0.0,0.0,1.0,0.0,"['then', 'we', 'have', 'to', 'go', 'out', 'on', 'tauntauns']",0.061068702290076333
58,HAN,That's right. And my friends out in it.,0.0,0.307,0.693,0.4767,"['that', 'right', 'and', 'my', 'friends', 'out', 'in', 'it']",0.061068702290076333
59,HAN,Then I'll see you in hell!,0.495,0.0,0.505,-0.7088,"['then', 'i', 'see', 'you', 'in', 'hell']",0.04580152671755725
60,THREEPIO,"You must come along now, Artoo. There's really nothing more  we can do. And my joints are freezing up.",0.072,0.0,0.928,-0.1027,"['you', 'must', 'come', 'along', 'now', 'artoo', 'there', 'really', 'nothing', 'more', 'we', 'can', 'do', 'and', 'my', 'joints', 'are', 'freezing', 'up']",0.1450381679389313
61,THREEPIO,"Don't say thing like that! Of course we'll see Master Luke  again. He'll be quite all right, you'll see.  Stupid little short-circuit. He'll be quite all right.",0.188,0.0,0.812,-0.7005,"['do', 'say', 'thing', 'like', 'that', 'of', 'course', 'we', 'see', 'master', 'luke', 'again', 'he', 'be', 'quite', 'all', 'right', 'you', 'see', 'stupid', 'little', 'he', 'be', 'quite', 'all', 'right']",0.1984732824427481
62,THREEPIO,"Mistress Leia, Artoo says he's been quite unable to pick up  any signals, although he does admit that his own range is far too weak to abandon all hope.",0.163,0.132,0.704,-0.2732,"['mistress', 'leia', 'artoo', 'says', 'he', 'been', 'quite', 'unable', 'to', 'pick', 'up', 'any', 'signals', 'although', 'he', 'does', 'admit', 'that', 'his', 'own', 'range', 'is', 'far', 'too', 'weak', 'to', 'abandon', 'all', 'hope']",0.22137404580152673
